candidate_id,rank,domain,matched_keyword,source,source_text_snippet
CAND_0064326,1,retrieval,search,headline,"Search Engineer | Search, Ranking & Retrieval"
CAND_0064326,1,retrieval,retrieval,headline,"Search Engineer | Search, Ranking & Retrieval"
CAND_0064326,1,retrieval,search,current_title,Search Engineer
CAND_0064326,1,retrieval,search,job_title,Search Engineer
CAND_0064326,1,retrieval,search,job_description,"...ned the ranking layer for an e-commerce search product, evolving it from a hand-tuned..."
CAND_0064326,1,retrieval,search,job_description,"...ned the ranking layer for an e-commerce search product, evolving it from a hand-tuned..."
CAND_0064326,1,ranking,rank,headline,"Search Engineer | Search, Ranking & Retrieval"
CAND_0064326,1,ranking,ranking,headline,"Search Engineer | Search, Ranking & Retrieval"
CAND_0064326,1,ranking,rank,summary,...spent enough time debugging production ranking issues to know which signals matter...
CAND_0064326,1,ranking,ranking,summary,...spent enough time debugging production ranking issues to know which signals matter and...
CAND_0064326,1,ranking,rank,job_description,Owned the ranking layer for an e-commerce search produ...
CAND_0064326,1,ranking,ranking,job_description,"Owned the ranking layer for an e-commerce search product,..."
CAND_0064326,1,ranking,rank,job_description,Trained and shipped multiple ranking models for our product's discovery f...
CAND_0064326,1,ranking,ranking,job_description,Trained and shipped multiple ranking models for our product's discovery feed...
CAND_0064326,1,ranking,rank,job_description,Owned the ranking layer for an e-commerce search produ...
CAND_0064326,1,ranking,ranking,job_description,"Owned the ranking layer for an e-commerce search product,..."
CAND_0064326,1,recommendation,recommendation,summary,"...n production. Strong background in NLP, recommendation systems, and applied AI; comfortable ac..."
CAND_0064326,1,search,search engine,headline,"Search Engineer | Search, Ranking & Retrieval"
CAND_0064326,1,search,search engine,current_title,Search Engineer
CAND_0064326,1,search,search engine,job_title,Search Engineer
CAND_0064326,1,evaluation,metrics,job_description,...analysis that determined which offline metrics actually predicted A/B test outcomes. W...
CAND_0064326,1,evaluation,metrics,job_description,"...valuation framework with both automatic metrics (BLEU, ROUGE) and human-in-the-loop qua..."
CAND_0064326,1,evaluation,evaluation,job_description,...r model for cost control). Designed the evaluation framework with both automatic metrics (...
CAND_0064326,1,production_ml,production,summary,"...erience building ML-powered features in production. Strong background in NLP, recommendati..."
CAND_0064326,1,production_ml,deployment,summary,"...stack from feature engineering through deployment. Recently, I shipped our first RAG-base..."
CAND_0064326,1,production_ml,deployment,job_description,...) and human-in-the-loop quality scores. Deployment cut average ticket resolution time by 3...
CAND_0018499,2,retrieval,search,headline,...Learning Engineer | Building AI-native search & ranking systems
CAND_0018499,2,retrieval,search,summary,"...production ML systems, with a focus on search, retrieval, and ranking. Most recently,..."
CAND_0018499,2,retrieval,retrieval,summary,"...ion ML systems, with a focus on search, retrieval, and ranking. Most recently, I designed..."
CAND_0018499,2,retrieval,bm25,summary,"...first hybrid retrieval system combining BM25 with dense vector recall, serving 50M+..."
CAND_0018499,2,retrieval,dense retrieval,job_description,"...oduct. The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LL..."
CAND_0018499,2,retrieval,search,job_description,...month for an internal recruiter-facing search product. The architecture combined BM25...
CAND_0018499,2,retrieval,retrieval,job_description,"...The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LL..."
CAND_0018499,2,retrieval,bm25,job_description,"...arch product. The architecture combined BM25 + dense retrieval (BGE embeddings, FAIS..."
CAND_0018499,2,retrieval,dense retrieval,job_description,"...oduct. The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LL..."
