candidate_id,rank,domain,matched_keyword,source,source_text_snippet
CAND_0046064,1,retrieval,vector search,headline,"Senior NLP Engineer | LLMs, RAG, Vector Search | ex-Top Tech"
CAND_0046064,1,retrieval,search,headline,"Senior NLP Engineer | LLMs, RAG, Vector Search | ex-Top Tech"
CAND_0046064,1,retrieval,search,summary,"...production ML systems, with a focus on search, retrieval, and ranking. Most recently,..."
CAND_0046064,1,retrieval,retrieval,summary,"...ion ML systems, with a focus on search, retrieval, and ranking. Most recently, I rebuilt..."
CAND_0046064,1,retrieval,search,job_description,...month for an internal recruiter-facing search product. The architecture combined BM25...
CAND_0046064,1,retrieval,retrieval,job_description,"...The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LL..."
CAND_0046064,1,retrieval,bm25,job_description,"...arch product. The architecture combined BM25 + dense retrieval (BGE embeddings, FAIS..."
CAND_0046064,1,retrieval,dense retrieval,job_description,"...oduct. The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LL..."
CAND_0046064,1,retrieval,search,job_title,Senior ML Engineer — Search & Ranking
CAND_0046064,1,retrieval,retrieval,job_description,...sing a fine-tuned BGE-large) → Pinecone retrieval → learning-to-rank re-scoring (XGBoost)...
CAND_0046064,1,ranking,ndcg,summary,"...om scratch, taking it from 0.72 to 0.91 NDCG@10, operating at single-digit-milliseco..."
CAND_0046064,1,ranking,rank,summary,"...with a focus on search, retrieval, and ranking. Most recently, I rebuilt the candid..."
CAND_0046064,1,ranking,ranking,summary,"...with a focus on search, retrieval, and ranking. Most recently, I rebuilt the candidate..."
CAND_0046064,1,ranking,rank,job_description,"...abels, plus the eval harness using both ranking metrics and human-quality scores. De..."
CAND_0046064,1,ranking,ranking,job_description,"...abels, plus the eval harness using both ranking metrics and human-quality scores. Deplo..."
CAND_0046064,1,ranking,ndcg,job_description,"...ine evaluation framework from scratch — NDCG, MRR, recall@K calibrated against onlin..."
CAND_0046064,1,ranking,rank,job_description,Built a RAG-based ranking pipeline serving 50M+ queries per mo...
CAND_0046064,1,ranking,rerank,job_description,...e recruiter-feedback loop that surfaced reranking edge cases.
CAND_0046064,1,ranking,ranking,job_description,Built a RAG-based ranking pipeline serving 50M+ queries per month...
CAND_0046064,1,ranking,rank,job_title,Senior ML Engineer — Search & Ranking
CAND_0046064,1,ranking,ranking,job_title,Senior ML Engineer — Search & Ranking
CAND_0046064,1,ranking,rank,job_description,Owned the end-to-end ranking pipeline at a recommendations-heavy...
CAND_0046064,1,ranking,ranking,job_description,Owned the end-to-end ranking pipeline at a recommendations-heavy con...
CAND_0046064,1,recommendation,recommendation,job_description,...ed the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sour...
CAND_0046064,1,evaluation,ndcg,summary,"...om scratch, taking it from 0.72 to 0.91 NDCG@10, operating at single-digit-milliseco..."
CAND_0046064,1,evaluation,evaluation,summary,"...nal integration, and the offline/online evaluation that ties it all together. I've shipped..."
